"VEH_ID","DATE","TIME","SPEED","ACCEL","location","Vehicle Type","Make","Model","Year","Fuel Type","Zip","Weight Rating","Registered Weight","Last Emissions Date","CO_g_kg","HC_g_kg","NO_g_kg","NH3_g_kg","NO2_g_kg"
381,"8/2/2022","10:16:31",53.4,-0.924,"Timp Hwy West","Truck","DODGE","DURANGO","2018","Gasoline","84003","b. 6,001 - 10,000","10000",2020-04-04,16.6807845181469,18.0212047026408,0.223403364082324,0.0158244049558313,0.781446350612963
382,"8/2/2022","10:17:00",51.5,-0.54,"Timp Hwy West","Truck","TOYOTA","SIENNA","2012","Gasoline","84020","a. 6,000 and less","6000",2022-04-22,-14.2553556579243,9.00199310991143,0.574174047333061,0.211567580002527,0.0997497770243642
383,"8/2/2022","10:17:01",59.5,-10.15,"Timp Hwy West","Passenger Vehicle","CHEVROLET","MALIBU","2017","Gasoline","84107","a. 6,000 and less","6000",2021-04-18,-14.5171046441293,-10.9838410799497,0.681209374669957,0.318281758566724,0.340076618052288
384,"8/2/2022","10:17:03",57.8,0.195,"Timp Hwy West","Truck","TOYOTA","RAV4","2021","Hybrid","84062","a. 6,000 and less","6000",NA,3.21435746333623,-9.89180243181449,-0.00717490505208981,0.189465326075518,-0.33444624082808
385,"8/2/2022","10:17:17",59.4,-9.331,"Timp Hwy West","Passenger Vehicle","LEXUS","ES","2012","Gasoline","84003","a. 6,000 and less","6000",2022-02-08,-15.7133455995917,-10.0035877846485,0.00287790212446735,1.14075243710345,NA
386,"8/2/2022","10:17:22",62.7,1.555,"Timp Hwy West","Truck","JEEP","GRAND CHEROKEE LIMITED","2014","Gasoline","84043","b. 6,001 - 10,000","10000",2021-11-19,9.77116976747257,4.81390448775868,0.195234762728458,0.349536246701287,0.0911095559399469
387,"8/2/2022","10:17:29",55,2.412,"Timp Hwy West","Truck","FORD","F150","2014","Gasoline","84004","b. 6,001 - 10,000","8000",2022-02-04,2.90118816842716,7.33586151159439,0.488869045264187,0.538839185632713,1.60318904631916
388,"8/2/2022","10:18:12",58.7,-0.312,"Timp Hwy West","Passenger Vehicle","HONDA","PILOT","2005","Gasoline","84003","a. 6,000 and less","6000",2022-04-26,1.7502288760838,-13.2440396051791,12.118411638445,0.336774809013486,NA
389,"8/2/2022","10:19:08",57.5,4.332,"Timp Hwy West","Truck","GENERAL MOTORS CORP.","YUKON XL","2022","Gasoline","84003","b. 6,001 - 10,000","8000",NA,1.31540869748231,10.2940126354401,-0.0775151553873503,0.0686831255613976,-0.00216102857443522
390,"8/2/2022","10:19:31",NA,NA,"Timp Hwy West","Truck","CHEVROLET","4500","2016","Gasoline","84088","d. 14,001 - 16,000","16000",2022-07-28,1.19298524674912,1.95801070656918,0.390560646257151,0.200393117043214,0.657656787612647
391,"8/2/2022","10:19:33",52.3,1.855,"Timp Hwy West","Truck","FORD","TRANSIT","2018","Gasoline","84003","b. 6,001 - 10,000","8000",2022-07-23,9.62870144430522,6.21814378986443,1.58138702292234,0.196201279430192,0.403048774743031
392,"8/2/2022","10:19:53",NA,NA,"Timp Hwy West","Truck","NISSAN","TITAN","2014","Gasoline","84004","b. 6,001 - 10,000","8000",2021-10-06,10.1936799184506,1.8307016996401,0.0992890901147782,0.155931151999304,-0.413231736953886
393,"8/2/2022","10:20:07",NA,NA,"Timp Hwy West","Passenger Vehicle","CADILLAC","CTS","2014","Gasoline","84003","a. 6,000 and less","6000",2021-12-17,59.2310539954519,-4.48765893792072,-0.770608100451033,0.62772451515907,NA
394,"8/2/2022","10:20:09",59,1.344,"Timp Hwy West","Truck","RAM","1500","2017","Gasoline","84104","b. 6,001 - 10,000","10000",2021-08-10,5.86627558162789,-5.2377460550249,0.219985334311046,0.259030350357595,0.332930185606674
395,"8/2/2022","10:20:21",59.9,-1.181,"Timp Hwy West","Truck","TOYOTA","SIENNA/LIMITED","2014","Gasoline","84003","a. 6,000 and less","6000",2022-07-12,-0.663173950527223,1.45898269115989,-0.028421740736881,0.00161056530842326,0.165604009360227
396,"8/2/2022","10:20:24",NA,NA,"Timp Hwy West","Truck","JEEP","Wrangler Unlimited","2015","Gasoline","84003","a. 6,000 and less","6000",2022-06-16,-4.17592779686132,-15.0294912873212,0.854429466270242,0.321421354963485,-0.055326232331688
397,"8/2/2022","10:20:48",45.1,-0.646,"Timp Hwy West","Truck","TOYOTA","4RUNNER","2003","Gasoline","84096","a. 6,000 and less","6000",2021-11-01,-3.02218017449806,12.0999834812512,0.00281569581474974,0.0694069018335811,-0.947669354717604
398,"8/2/2022","10:21:01",59.8,-1.368,"Timp Hwy West","Truck","HYUNDAI","PALISADE","2021","Gasoline","84062","a. 6,000 and less","6000",NA,-28.2070636843987,7.74133498300198,1.48555310249323,NA,NA
399,"8/2/2022","10:21:08",NA,NA,"Timp Hwy West","Truck","VOLKSWAGEN","EUROVAN","1993","Gasoline","84003","a. 6,000 and less","6000",2022-03-08,97.0925017149491,-6.50926826326541,7.20137271308714,0.720043043337329,NA
400,"8/2/2022","10:21:15",56.9,1.807,"Timp Hwy West","Truck","RAM","PROMASTER 1500","2019","Gasoline","84106","b. 6,001 - 10,000","8000",2021-08-20,3.04269026735987,3.82509633610955,0.443646919417845,0.0634523762277066,-0.271668773871417
